title,abstract,subject,duration,url
Financial Statement Analysis And Reporting,Financial Analysis and reporting is an integral part of overall financial analysis carried out by various business organizations in India and all around the world. It depicts the financial health of any company and helps the companies to augment their financial resources and management of generated funds efficiently. It compels the business firms to remain judicious in fund allocation to different activities and sub activities and use the generated funds carefully. Financial analysis guides the companies about their future course of action and the direction that any particular company should move on.,mg,12,/noc/courses/noc22/SEM1/noc22-mg07
Finite Element Method,"This is an introductory level course on Finite Element Method. After attending the course, the students will be able to comprehend FEM as a numerical technique to solve partial differential equations representing various physical phenomena in structural engineering. The proposed course also provides a hands-on training on translating FEM formulation into computational code in MATLAB.",me,12,/noc/courses/noc22/SEM1/noc22-me43
Finite Element Modeling Of Welding Processes,"The welding process involves complex interaction of several mechanisms. The fundamental understanding relied on basic mechanisms such as heat transfer and/or fluid flow, and associated distortion and residual stress generation including the effect of metallurgical transformation for a welding process is the focus of this course. It helps to develop the numerical model, and makes the foundation for analysis and experimentation for the process. The development of computational models for welding process relies on mathematical expression of the governing mechanism. It helps to design relevant experiments and drives to find the data to be obtained.",me,12,/noc/courses/noc22/SEM1/noc22-me46
First Course On Partial Differential Equations - I,"This is intended to be a first course on the subject Partial Differential Equations, which generally requires 40 lecture hours (One semester course). So, we plan to make this course in two parts â 20 hours each. We plan to offer the first part starting in January 2021 and second part may be in July 2021 or latest by 2022.",ma,8,/noc/courses/noc22/SEM1/noc22-ma28
Fluid Dynamics For Astrophysics,"This course provides a broad overview of fluid phenomena in Astrophysics. The first few weeks cover the basics of fluid dynamics, with an emphasis on compressible phenomena. These basic concepts will be applied in understanding astrophysical phenomena ranging from the solar wind to black hole accretion disks. Magnetic fields are often important in astrophysical situations - we therefore treat the basics of magnetohydrodynamics and use it to understand astrophysical dynamos and jets. Students of this course will be equipped with the basics needed for understanding the research literature in several areas in astrophysics.",ph,12,/noc/courses/noc22/SEM1/noc22-ph16
Fluid Flow Operations,"This course is structured as a MOOCS course for students or junior engineers studying chemical, mechanical or civil engineering. In this course, effort is made to introduce students /engineers to fluid mechanics by making explanations easy to understand. The following features will be included in the course
1. Examples, photographs and items of interest will be presented for easy understanding. 
2. Assignments and exercises will be given at the ends of course lecture to test understanding of the chapter topic. 
5. Special emphasis will be given on real multiphase flow phenomena with specific applications",ch,12,/noc/courses/noc22/SEM1/noc22-ch03
Fluid Mechanics And Its Applications,"This course introduces the subject of fluid mechanics from the conceptual and applications point of view. While it covers  all the material required for GATE, it adds interesting insights into applications of fluid mechanics (without advanced  mathematics), more than what is covered in most books in fluid mechanics.",ch,12,/noc/courses/noc22/SEM1/noc22-ch26
Forests And Their Management,"The Science of Forestry and the management of forests has taken front seat as a mechanism of
climate change mitigation. It is one of the few very effective measures available for the sequestration of
atmospheric carbon. At the same time, management of forests provides access to tourism avenues,
major and minor forest produce, food and water security for wildlife and also for people. In this course,
we shall discuss the principles of forestry and silviculture. We shall use case studies and examples from
India and abroad to understand how forests are planted, managed and harvested for optimising various
economic and ecological values derived from forests.",bt,12,/noc/courses/noc22/SEM1/noc22-bt24
Foundation Course In Managerial Economics,"This course is developed to teach modern microeconomic theory to understand the behavior of household, firms and their interaction under different market structure. The purpose of this course is to provide students with a basic understanding of economic theory that can be used in managerial decision making problems within various organizational settings such as a firm or a government agency. Objective is to develop a good understanding of economic concepts and tools that have direct managerial applications.",mg,8,/noc/courses/noc22/SEM1/noc22-mg43
Foundations Of Cryptography,"The course provides the basic paradigm and principles of modern cryptography. The focus of this course will be on definitions and constructions of various cryptographic objects. We will try to understand what security properties are desirable in such objects, how to formally define these properties, and how to design objects that satisfy the definitions. The aim is that at the end of this course, the students are able to understand a significant portion of current cryptography research papers and standards.",cs,12,/noc/courses/noc22/SEM1/noc22-cs03
Functional Analysis,"Functional Analysis is a core course in any mathematics curriculum at the masters level. It has wide ranging applications in several areas of mathematics, especially in the modern approach to the study of partial differential equations. The proposed course will cover all the material usually dealt with in any basic course of Functional Analysis. Starting from normed linear spaces, we will study all the important theorems, with applications, in the theory of Banach and Hilbert spaces. One important feature of the proposed course is the detailed treatment of weak topologies. Prerequisites are familiarity with real analysis, topology and linear algebra. Knowledge of measure theory is desirable.",ma,12,/noc/courses/noc22/SEM1/noc22-ma22
Fundamental Algorithms: Design And Analysis,"This course provides an introduction to mathematical modeling of computational problems. It covers the common algorithms, algorithmic paradigms, and data structures used to solve these problems. The course emphasizes the relationship between algorithms and programming, and introduces basic performance measures and analysis techniques for these problems.",cs,4,/noc/courses/noc22/SEM1/noc22-cs01
Fundamental Of Fluid Mechanics For Chemical And Biomedical Engineers,"This basic course on fluid dynamics is designed specifically for Chemical Engineering. The participants will be introduced to properties of fluid and flow properties such as velocity, stress. The students will learn to analyse the fluid flow problem employing dimensional analysis, integral analysis and differential analysis. The course would focus more on viscous flow in pipes and around submerged objects such as spheres and cylinders. A number of problems relevant to chemical and biomedical engineering applications will be solved.",ge,12,/noc/courses/noc22/SEM1/noc22-ge11
Fundamental Of Power Electronics,"The course introduces basics of power electronic devices and converters. Basic working principle, operating modes and analysis of DC-DC, DC-AC, AC-DC, and AC-AC converters would be covered. Control of power electronic converters is explained. Certain specialized concepts in power electronics like matrix converter, active rectifiers, space vector modulation would be included. Practical aspects of power electronic systems such as gate drives, snubbers and heat sinking would also be included. Finally, certain applications of power electronics to renewable energy conditioning and power quality would be discussed.",ee,12,/noc/courses/noc22/SEM1/noc22-ee03
Fundamental Of Welding Science And Technology,"Dr. Pankaj Biswas going to offer a course on Fundamental of Welding Science and Technology under the MOOCS program of the MHRD. As the name implies in this course he will try to cover the fundamental overview of the traditional/ industrial welding technology espeacially those welding processes which are widely used in manufacturing industries. This will help the participants to understand and apply this knowledge of welding in practice for various industrial applications. It will also encourage academic participants to increase the research interest in the field of welding. Welding is a joining process which is an unavoidable technology in most of the manufacturing sector. It is such a topic in which you will get the taste of most of the science and engineering subjects. Knowledge of almost all science subjects like physics, chemistry, mathematics and engineering subjects like solid mechanics, thermal science, fluid mechanics etc. are highly essential to understand the area welding technology.It is observed that in manufacturing industry over 30 % expenditure is spent on welding. Welding has significant application in various manufacturing sectors like aerospace, automobile, ship building, railway etc. It plays very important and crucial role in service life of the structure. Thatâs why basic fundamental knowledge of welding is highly essential. The brief overview of the course content can be stated like; this course will cover the classification of welding process, classification of welding joints, industrial relevance of welding, welding symbols, characteristics of traditional welding power sources. It will give the fundamental knowledge of principle and physics involve in various welding processes. It will also cover the importance and applications of different traditional welding techniques. This course will highlight safety precautions to be followed in welding. This course will also cover welding defects & inspection and with their remedies to improve the weld quality.",me,8,/noc/courses/noc22/SEM1/noc22-me19
Fundamentals Of Automotive Systems,"The objective of this course is to provide a fundamental understanding of the various systems of a typical automobile. 
Course Outcomes: At the end of this course, the participant should be able to:
1. acquire fundamental knowledge of the various systems of an automobile,
2. associate the functions of each system with its design and layout, depict the various systems using simple schematics, and apply concepts learnt in core undergraduate courses to synthesize mathematical models of the various systems.",de,12,/noc/courses/noc22/SEM1/noc22-de02
Fundamentals Of Combustion,"To enable students to apply the knowledge of thermodynamics to combustion. To emphasize the basics of fuels, stoichiometry, chemical kinetics and equilibrium, mass transfer, and different types of combustion process. To explain the mathematics involved in transport processes of a reactive flow, simplifications involved and the parameters affecting different types of combustion processes.",me,12,/noc/courses/noc22/SEM1/noc22-me35
Fundamentals Of Combustion For Propulsion,"The gulf between science of combustion and its practice is strikingly visible during interactions between academics and practitioners. In spite of this, significant progress has happened over the last few decades in development of propulsion systems for space and defense applications in India. But in dealing with âcombustion instabilityâ, practitioners find the existing methods of practice and more importantly the way of thinking highly inadequate. This course, in an interactive way, will attempt to bridge this gap by introducing practitioners and research scholars in the field of combustion and propulsion to essential existing ideas and a few new ones. It is hoped that this will enable the participants to think of novel strategies to deal with development of propulsion systems prone to âinstabilityâ. The instructors also hope to learn of issues of fundamental nature that are required to address developments in practice.
",me,8,/noc/courses/noc22/SEM1/noc22-me33
Fundamentals Of Electronic Materials And Devices,"The course is intended to provide an understanding of the materials and devices used in the current semiconductor industry. It caters to undergraduate and graduate students with a diverse background in Chemical, Mechanical, Metallurgy, Materials Science, and Physics. The course provides the students with the basic physics behind semiconductor materials, types of semiconductors, and the reason for the dominance of silicon in the electronics industry. The course also covers the basics of devices with emphasis on their electronic characteristics. Optical devices like LEDs, lasers, solar cells, and their properties will also be explained.",mm,8,/noc/courses/noc22/SEM1/noc22-mm11
Fundamentals Of Material Processing - Part 2,"The aim of the course is to acquaint students with the fundamentals involved in the processing of materials. Various materials processes are used in variety of industries to create and form materials for wide range of applications. There are some commonalities behind all these processes and the aim of this course is to go through these fundamental physics and materials science behind these processes so as to be able to understand, design and predict the outcome of these methods. At the end of this course, students should be able to answer the following questions: (a) What are the various fundamental material processing techniques and the science behind it; (b) What processing method to use for a given material and a given application. 
This course is offered in two parts of 20 hours each. First part of the course deals with Solidification and Powder Metallurgy, while the second part deals with Metal processing and Thin film deposition.",mm,8,/noc/courses/noc22/SEM1/noc22-mm10
Fundamentals Of MIMO Wireless Communication,"This course covers the fundamentals of Multiple input multiple output (MIMO) antenna based wireless communication systems. MIMO is now an essential part of modern wireless communication systems, such as 3G, 4G, WLAN / Wifi, LTE, WiMax, etc. MIMO brings to the domain of wireless communications, spectral efficiency and reliability gains. With multiple antennas at the transmitter and receiver it helps design wireless communication systems that can use the additional spatial dimension over and above the well investigated time-frequency dimensions to fetch myriads of new gains. MIMO is expected to be one of the enabler of 5G communication systems. This course covers important concepts of MIMO communication such as capacity computation, error probability analysis, transmitter and receiver design, multi-user communication, etc. After completion of the course the participants will be able to apply the methods for performance analysis and design of advanced wireless communication systems",ee,8,/noc/courses/noc22/SEM1/noc22-ee65
Fundamentals Of Nuclear Power Generation,"The depleting stock of fossil fuels and global concern over the preservation of environment has projected nuclear energy as a very relevant option, particularly considering the near-zero emission and huge resource availability. From technological point of view, nuclear power production is quite different from the conventional thermal plants and therefore it is the need of the hour to grasp the essentials at an early level. Present course introduces the students to the fundaments of nuclear power generation. Starting from the atomic structure, students will be gradually familiarized with different concepts, finally leading to the design of different reactors. Important topics such as nuclear waste management, biological impact of radiation and safety issues pertinent to handling nuclear fuels will also be discussed.",me,12,/noc/courses/noc22/SEM1/noc22-me15
Fundamentals Of Semiconductor Devices,"This course seeks to cover the basics of semiconductor devices including the physics of energy bands, doping and carrier statistics and transport leading up to the understanding of common semiconductor devices including p-n junctions and their applications, BJTs and MOSFETs. The course will also give a flavour of the basics of compound semiconductors and their devices, and also touch base with opto-electronic devices such as solar cells, photodetectors and LEDs. The course will ensure that undergraduates, college teachers and other interested audience with no background in semiconductors are able to grasp the content. In parallel, the course will consistently seek to engage the audience by giving real-life examples pertaining to the content, and also seek to calibrate the content with respect to practical and commercial technologies which are all around us and which use semiconductor devices. There will be enough food for thought even for advanced learners such as PhD students and active researchers.",ee,12,/noc/courses/noc22/SEM1/noc22-ee13
Fundamentals Of Spectroscopy,"Spectroscopy is the study of the interaction of light (electromagnetic radiation) with matter. Electromagnetic radiation covers a wide range of frequencies from gamma rays to radio frequencies. Depending on the frequency of radiation interacting with the matter, one can have different forms of spectroscopy. These spectroscopic techniques allow us to monitor the structural properties of matter. For example, information on moment of inertia (and hence bond length) can be obtained from rotational spectrum. Similarly, vibrational spectrum provides information on the force constant, i.e. the strength of a chemical bond.

Besides providing information on molecular structure, spectroscopic techniques can also be used for quantitative estimation of a substance making spectroscopy an important analytical tool. Further, a spectroscopic transition is characterized by a definite timescale and this can provide information on molecular dynamics. 

In this course, the fundamental principles of the different forms of spectroscopy will be elaborated in a unified way from both theoretical and experimental viewpoints. Application of these different spectroscopic methods for the elucidation of molecular structure will also be discussed. The structural and dynamic aspects of spectroscopy are fundamental to physics, chemistry and biology. Thus, this course will provide a thorough conceptual understanding for these branches of science.",cy,12,/noc/courses/noc22/SEM1/noc22-cy23
"Fundamentals Of Surface Engineering: Mechanisms, Processes And Characterizations","The course content is designed to have systematic and comprehensive understanding on various
aspects related with surface engineering of metallic components for enhanced tribological life. It
is proposed to include fundamental mechanisms of wear such as adhesive, abrasive, erosive,
cavitation, corrosion etc., governing laws, materials properties importance for improved wear
resistance under different wear conditions, materials increased tribological life, processes for
engineering surfaces of three board categories a) regulating the micro-structure without changing
chemical composition b) modification of chemical composition of near surface layers and c)
developing of films, coating, and cladding on the. Methods of characterization needed for
evaluating the metallurgical and mechanical and tribological properties and performance of
engineered surfaces shall also be presented. Presentations will be supported with case studies for
effective communication of concepts and procedures. Case studies will be taken up regarding
surface engineering of various metal systems like ferrous and non-ferrous metals using different
approaches discussed.",me,12,/noc/courses/noc22/SEM1/noc22-me03
Fundamentals Of Theoretical And Experimental Aerodynamics,"This course is introductory in nature and expected to impart firsthand knowledge of Aerodynamics. It combines fundamentals of theoretical and experimental aspects of Aerodynamics without making it too intense and detailed. After successful completion of this course the student should be well prepared for more advanced courses in the discipline.
With ever increasing use of Aerodynamics in a wide gamut of applications like drones, UAVs, micro air vehicles, automobile aerodynamics, sports aerodynamics, industrial aerodynamics, defence and space, it is essential to understand the basics or quickly refresh the fundamental concepts of Aerodynamics while working on any of the above applications. This course exactly fulfils that need.
I would like to once more emphasize that the primary intention of this course is to create a familiarity about Aerodynamics. It is not intended to prepare someone for research but induce the excitement and enthusiasm to pursue it further.",ae,12,/noc/courses/noc22/SEM1/noc22-ae09
Fuzzy Logic And Neural Networks,"This course will start with a brief introduction to fuzzy sets. The differences between fuzzy sets and crisp sets will be identified. Various terms used in the fuzzy sets and the grammar of fuzzy sets will be discussed, in detail, with the help of some numerical examples. The working principles of two most popular applications of fuzzy sets, namely fuzzy reasoning and fuzzy clustering will be explained, and numerical examples will be solved. Fundamentals of neural networks and various learning methods will then be discussed. The principles of multi-layer feed forward neural network, radial basis function network, self-organizing map, counter-propagation neural network, recurrent neural network, deep learning neural network will be explained with appropriate numerical examples. The method of evolving optimized fuzzy reasoning tools, neural networks will be discussed with the help of some numerical examples. Two popular neuro-fuzzy systems will be explained and numerical examples will be solved. A summary of the course will be given at the end.",ge,8,/noc/courses/noc22/SEM1/noc22-ge04
"Fuzzy Sets, Logic And Systems & Applications",The course is designed to give a solid grounding of fundamental concepts of fuzzy logic and its applications. The level of the course is chosen to be such that all students aspiring to be a part of computational intelligence directly or indirectly in near future should get these concepts.,ee,12,/noc/courses/noc22/SEM1/noc22-ee21
Gasdynamics: Fundamentals And Applications,"In the previous century, humanity quickly moved from enabling mechanical flight to flying farther, higher, and faster. Now, humanity is endeavoring to explore and colonize other planets. Similarly, engineers are seeking to make compact and efficient systems in the domains of energy and power. All these scenarios and several more, including natural events like explosive volcanic eruptions, involve the high-speed Flow of gases. Speeds at which the compressible nature of gases becomes significant. In this course on the fundamentals and applications of gasdynamics, we shall understand and model the compressible flow phenomena of gases from first principles.",ae,12,/noc/courses/noc22/SEM1/noc22-ae05
Gear And Gear Unit Design: Theory And Practice,"Over and above the outline of gear design that are taught in undergraduate
and postgraduate levels through the basic course of design of Machine
Elements or specialized course Mechanical Drives, detail aspects of
practical design in industries will be focused. The course would help to fill
the gap the knowledge at graduation and step into producing the detail
design and drawing of gear units in Industries. The course is developed
based on long time research, teaching and working in industries in this
area.",me,8,/noc/courses/noc22/SEM1/noc22-me62
Geographic Information Systems,"The proposed course provides detailed understanding about Geographic Information Systems and their applications in Civil Engineering and Earth Sciences. All aspects starting from data input to modelling would be discussed in this course. Further, in the proposed course various datasets including DEMs, their source, generation techniques, derivatives, errors and limitations would be discussed extensively. Surface Hydrologic Modelling using DEMs, modelling derivatives and their applications would also be discussed.",ce,12,/noc/courses/noc22/SEM1/noc22-ce26
Geology And Soil Mechanics,The course prepares the student to be able to make effective learning of basic soil mechanics. The course should have the pre-requisite of mechanics of solids/strength of materials course.,ce,12,/noc/courses/noc22/SEM1/noc22-ce02
Geomorphic Processes: Landforms And Landscapes,"The course introduces the student to basic principles of geomorphology and related geological environment. The modules of this course will help the student to have better understanding towards processes operating in the interior of the earth and also on the earth surface. After this course a student can be well equipped with the knowledge of the different landforms and processes going on in fluvial, glacial, karst, aeolian, coastal terrains.",ce,8,/noc/courses/noc22/SEM1/noc22-ce48
Geomorphology,"Geomorphology deals with the activities of different natural surface and subsurface agents engaged in removal of old and formation of new landforms on the earthâs surface. In modern days geomorphic evaluation of each and every area is utmost important for sustainable development. It helps in many fields such as ground water exploration and storage, flood control, waste disposal, smart city development, oil and natural gas exploration, infrastructure development etc.",ce,12,/noc/courses/noc22/SEM1/noc22-ce04
Geosynthetics And Reinforced Soil Structures,"This course will dealt with the geosynthetics as construction materials in civil engineering projects. It will introduce the concept of geosynthetics, their manufacture and their behavior and their applications in different civil engineering designs. The support for the course will be in the form of pre-recorded videos, power point slides and supplementary reading materials given every week.",ce,12,/noc/courses/noc22/SEM1/noc22-ce11
Geotechnical Engineering - 1,"Geotechnical Engineering-1 deals with the fundamental aspects of soils starting from their origin to various engineering applications. The course discusses the basic classification, characterization, hydraulic and mechanical properties of soils in depth. The expected outcome of the course is to make the students familiarize with soil and to showcase its behavior during various engineering applications such as foundation, retaining wall etc.",ce,12,/noc/courses/noc22/SEM1/noc22-ce03
Geotechnical Engineering II Foundation Engineering,"Broadly Geotechnical Engineering encompasses two distinct segments: Geotechnical engineering I (Soil Mechanics) and Geotechnical Engineering II (Foundation Engineering). Geotechnical Engineering I/Soil Mechanics deals with study of physical properties of soils, and the relevance of these properties as they affect soil strength, stability, and drainage. Geotechnical Engineering II/Foundation engineering deals with (i) selection of foundation type based on building site conditions and site constraints, (ii) determining size and reinforcement of the foundation and (iii) finally construction of foundation element. This course will focus on the second, Geotechnical Engineering II/Foundation Engineering. One week will be spent for quickly reviewing the soil mechanics and subsequently various topics of foundations will be covered. Although the objective is to select a safe and economical design, there is no unique design or method in foundation engineering. Therefore an attempt is made to connect the theoretical concepts with the practical aspects of foundation engineering. Every civil engineer has to learn basic principle of geotechnical engineering and its application through foundation engineering and both are core courses for civil engineering in every college/university across the globe. Every aspect of foundation as per GATE, Engineering Service and other important competitive Examination will be covered with great detail under this course.",ce,12,/noc/courses/noc22/SEM1/noc22-ce01
German - I,"German I is meant to be an introduction to the German language and a basic orientation
towards Germany (and to some extent Austria and Switzerland).
Learning to understand and articulate oneself in day to day real life situations, and to
begin to make sense of Germany as a cultural space are the overall objectives of the
course.Serious learners should be able to grasp the basic sentence structure and build a good
foundational vocabulary through this course.",hs,12,/noc/courses/noc22/SEM1/noc22-hs30
German - II,"German II builds upon German I to help the learner acquire the A level of competence(A1+A2) as per the European Common Language Framework.
It is meant to broaden and deepen the learnerâs understanding of German grammatical structures, further enrich her vocabulary to cover all aspects of daily living, and to develop a basic understanding of the German cultural space.Serious learners should be able to get a comprehensive understanding of basic German grammar, and build a good enough vocabulary to be able to articulate themselves in any given daily life situation, and about basic themes of personal interest. ",hs,12,/noc/courses/noc22/SEM1/noc22-hs31
German - III,"German 3 will build upon the courses German 1 and German 2, which are already being offered on the NPTEL platform since two years. The overall objective of this course is to acquire good knowledge of the German language, corresponding to the B1 proficiency level of the European Common Framework of Reference for Languages.B1 is the proficiency level required to be eligible to study in Germany, Austria and at several important universities in Switzerland, and to be able to work in these countries. Through this course we hope to bring your German language competence to a level where you would be able to qualify B1 level exams conducted by certifying institutions, and thus acquire the language eligibility to study  work in Germany (as required as of today by most institutions and organizations).",hs,12,/noc/courses/noc22/SEM1/noc22-hs32
Getting Started With Competitive Programming,"This is a course on algorithm design with a focus on issues of modeling and implementation. Each lecture will be focused entirely on one or two problems that reveal the use of a specific algorithmic technique. The techniques themselves are chosen to be in line with those covered in existing NPTEL courses on data structures and algorithms, so that students who complete those courses can find in this course a natural follow up. This course is intended for anyone who wants to deepen their appreciation for algorithmic techniques that they have learned in a foundational course and/or would like to take a first step towards preparing for coding competitions such as the ICPC.",cs,12,/noc/courses/noc22/SEM1/noc22-cs59
Global Marketing Management,"Global business comprises of a large and growing portion of the worldâs total business. Today, global events and competition affect almost all companies- large and small-because most sell output to and secure supplies from foreign countries. Many companies also compete against products and services that come from abroad. Thus most managers, regardless of industry or company size, need to approach their operating strategies, from a global perspective. In view of the above, this course provides a fresh, up-to-date analysis of the global business environment and successfully blends a comprehensive review of global business with exhaustive discussion of what happens in the many parts of the global market. Moreover, the course not only describes the ideas of global marketing but also presents many contemporary examples, scenarios and cases. This course will therefore provide first-hand knowledge of Global Marketing operations and help practitioners and budding scholars of international business. ",mg,8,/noc/courses/noc22/SEM1/noc22-mg28
Globalization: Theoretical Perspectives,"This course aims to introduce students to some of the central debates in social theory on globalization. It aims to engage with the following broad theoretical concerns of globalization: Modernity and late/post modernity; spatial and temporal aspects of globalization; cultural, socio-political and technological transformations in a global world. It engages with these themes by analyzing some of the most important scholars of globalization. The course also examines certain specific themes in Indian society to illustrate their engagement with the process of globalization.",hs,12,/noc/courses/noc22/SEM1/noc22-hs38
GPU Architectures And Programming,"The course covers basics of conventional CPU architectures, their extensions for single instruction multiple data processing (SIMD) and finally the generalization of this concept in the form of single instruction multiple thread processing (SIMT) as is done in modern GPUs. We cover GPU architecture basics in terms of functional units and then dive into the popular CUDA programming model commonly used for GPU programming. In this context, architecture specific details like memory access coalescing, shared memory usage, GPU thread scheduling etc which primarily effect program performance are also covered in detail. We next switch to a different SIMD programming language called OpenCL which can be used for programming both CPUs and GPUs in a generic manner. Throughout the course we provide different architecture-aware optimization techniques relevant to both CUDA and OpenCL. Finally, we provide the students with detail application development examples in two well-known GPU computing scenarios.",cs,12,/noc/courses/noc22/SEM1/noc22-cs09
Graph Theory,"Graph theory began in 1736 when the Swiss mathematician Euler solved Konigsberg seven-bridge problem. It has been two hundred and eighty years till now. Graph theory is the core content of Discrete Mathematics, and Discrete Mathematics is the theoretical basis of computer science and network information science. This course introduces in an elementary way some basic knowledge and the primary methods in Graph Theory. ",ma,8,/noc/courses/noc22/SEM1/noc22-ma10
Groundwater Hydrology And Management,"Groundwater is the most important water resource that aids during climate change extremes (floods and droughts). Groundwater has also been the key factor for increase in cropped area, rotation and profit for farmers. However, the groundwater science is not well understood and hence it is depleted at alarming rates. India is the highest extractor of groundwater in  the world and it is necessary to understand groundwater hydrology to better work in water resources management activities. ",ce,12,/noc/courses/noc22/SEM1/noc22-ce44
Group Theory Methods In Physics,This course is a first course pitched at UG level so that the students can appreciate the wide applications of the group theory tools in other areas of physics,ph,12,/noc/courses/noc22/SEM1/noc22-ph07
Handling Large-Scale Unit Level Data Using STATA,"The primary objective of this module is to enable learners in handling various large-scale complex database for detailed analysis. This attempts in identifying various complexities in these database. The latest statitistical software like STATA will be employed in explaining these concepts as stated in the module. This will be practically oriented. The module covers the topics from basics of data, their collection, tabulation and analysis. Topics include familiarization with unit-level data, collection, prerequisites, descriptive and inferential statistics, analysis of data using STATA, analysis of qualitative variables, and handling longitudinal data, etc.",hs,8,/noc/courses/noc22/SEM1/noc22-hs58
Hardware Security,"This course will focus on the importance of addressing different security threats on modern hardware design, manufacturing, installation, and operating practices. In particular, the threats would be shown to be relevant at scales ranging from a single user to an entire nations public infrastructure. Through theoretical analyses and relevant practical world case studies, the threats would be demonstrated, and then state-of-the-art defense techniques would be described. The course would borrow concepts from diverse fields of study such as cryptography, hardware design, circuit testing, algorithms, and machine learning.",cs,12,/noc/courses/noc22/SEM1/noc22-cs48
Health Research Fundamentals,"National Institute of Epidemiology [NIE], Indian Council of Medical Research [ICMR] is offering online programmes on conduct of human bio-medical research. The programme will be offered as ?NIE-ICMR e-Certificate? ? NIeCer courses. The first in this series, NIeCer 101:Health Research Fundamentals, is a basic level course in health research methods. It will explain the fundamental concepts in epidemiology and bio-statistics related to research methods. This course will provide an overview of steps and principles for designing bio-medical and health research studies among human participants.",hs,8,/noc/courses/noc22/SEM1/noc22-hs03
Heat Transfer,"Heat transfer occurs in many unit operations in variety of processes in chemical, petrochemical and pharmaceutical industries. Understanding the fundamentals governing heat transfer is key to designing equipment that involves heat exchange. This course for undergraduate students covers the fundamental aspects and quantitation of different modes of heat transport. The course can also serve as a refresher for graduate students.",ch,12,/noc/courses/noc22/SEM1/noc22-ch09
Heat Transfer And Combustion In Multiphase Systems,"Multiphase systems are ubiquitous to many domains ranging from large scale power generation to microscale surface patterning. The course as outlined aims to offer insights and fundamentals into such multiphase systems. The course will first cover the basics of thermodynamics and transport processes in generalized multiphase systems along with analyses of interfacial transport mechanisms. Subsequently in the later modules, it will offer in depth analyses of transport processes and combustion in specific areas like a.) droplet combustion, b.) droplet evaporation, c.) evaporation from porous media, d.) transport processes in sessile droplets, e.) boiling and f.) sprays. Some case studies related to diverse sets of industries will be provided. The coverage will benefit people from many industries like gas turbines, solar thermal, micro-nano scale engineering, materials processing to name a few.",me,8,/noc/courses/noc22/SEM1/noc22-me42
"High Power Multilevel Converters - Analysis, Design And Operational Issues","The course covers different types of high power converters used in the industry for applications in HVDC, FACTS, Motor Drives, Power quality improvement. Traditional converters like NPC and emerging converters like modular multilevel converters will be covered. Operational issues and design considerations for these medium/high voltage high power converters will be covered. The course will discuss many practical issues faced in the industry while designing and operation of these converters.",ee,12,/noc/courses/noc22/SEM1/noc22-ee16
Human Behaviour,"We as intelligent beings have always wondered why we do what we do. The most interesting knowledge that humans beings would kill to possess would be the knowledge to control other people. The basic premise of being human is individual difference (we are all different). One science that helps people in understanding other people and scientifically predicting their actions is the science of psychology. In the present course, I will make an attempt to simplify the science of human behavior.",hs,8,/noc/courses/noc22/SEM1/noc22-hs18
Human Molecular Genetics,"This is an introductory course designed primarily for students in the undergraduate or masterâs programs interested in biomedical research, genetic counseling, medicine, and clinical genetics. This course is expected introduce the rapid advancements in our understanding the role of human genome in health and disease. We would introduce key concepts of inheritance of human traits, pedigree analysis, and chromosome organization. Molecular biology tools used for understanding the genome, gene structure and gene mutations, gene mapping and gene cloning strategies will also be covered. Objectives and outcome of human genome project and the HapMap project will also be discussed at the end.",bt,4,/noc/courses/noc22/SEM1/noc22-bt07
Hydraulic Engineering,"Hydraulic engineering, as a sub-discipline of civil engineering, is concerned with the flow and conveyance of fluids. This course consists of the topic like viscous fluid flow, laminar and turbulent flow, boundary layer analysis, dimensional analysis, open channel flows, flow through pipes, and computational fluid dynamics. The objective of this course is to introduce various hydraulic engineering problems like open channel flows and hydraulic machines. In addition this course is a compulsory part of AICTE Civil Engineering curricula",ce,12,/noc/courses/noc22/SEM1/noc22-ce06
IC Engines And Gas Turbines,This course deals with the gas power cycles. One part of the course is on IC engines and it focuses on the thermodynamic cycles for different fuels suitable for automobiles. Other part of the course has emphasis on thermodynamic cycle of aircraft engines and the components of the aircraft engine. Thus this course would provide an understanding on electricity generation or transportation application using gas as working medium.,me,12,/noc/courses/noc22/SEM1/noc22-me65
Indian Economy: Some Contemporary Perspectives,"Understanding the role of economic activities has always been a challenging task for non-economics students and it is an unavoidable task. This course is designed for undergraduate students to learn the art of understanding the functioning of the economy in the light of its mixed economic set-up, historical developments and recent reforms. The course touches upon various relevant topic which are indeed useful for the budding economist and non-economics students who want to apply for general competitive exams and masters program in management and civil services.",hs,8,/noc/courses/noc22/SEM1/noc22-hs69
